"Nacionalidade","Estado","Cidade","Bairro","Trabalha","Carteira Assinada","Tipo de Estabelecimento","Sexo","Escolaridade","Raça","Data de Nascimento","Pontuação","Percentual de Conclusão do Canal","Data de Conclusão do Canal"
"Brasil","Rio Grande do Sul","São Gabriel","CENTRO","","","estudante","Masculino","Superior incompleto","Branca","16-02-1984","429","100.00","2018-08-24 19:16:46.993"
"Brasil","Rio de Janeiro","Araruama","MACABÚ","","","TURISMÓLOGO","Masculino","Superior","Parda","29-05-1962","429","100.00","2018-07-20 20:50:43.545"
"Brasil","Pará","Ananindeua","MAGUARI","","","Gestor de Turismo Público","Feminino","Superior incompleto","Parda","21-06-1995","429","100.00","2018-11-14 22:21:03.696"
"Brasil","São Paulo","Pedreira","JARDIM ANDRADE","","","Gestor de Turismo Público","Masculino","Superior","Branca","17-07-1975","429","100.00","2018-11-14 11:59:42.851"
"Brasil","Tocantins","Itacajá","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Parda","25-10-1980","429","100.00","2018-09-19 12:15:11.261"
"Brasil","Rio de Janeiro","São Gonçalo","RAUL VEIGA","","","Turismologo","Feminino","Superior","Preta","07-02-1981","429","100.00","2018-10-20 12:17:36.992"
"Brasil","Roraima","Rorainópolis","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Parda","12-01-1988","429","100.00","2018-10-25 13:14:22.024"
"Brasil","Bahia","Santo Estêvão","CENTRO","","","Tèc.Guia de Turismo","Feminino","Medio","Parda","03-03-1979","429","100.00","2018-12-12 20:42:06.09"
"Brasil","São Paulo","São Paulo","V. LEOPOLDINA","","","ESTUDANTE","Feminino","Superior","Branca","27-12-1976","429","100.00","2018-09-24 23:09:31.462"
"Brasil","São Paulo","Aguaí","PARQUE INTERLAGOS","","","Gerente de Seção","Feminino","Superior","Branca","11-01-1972","429","100.00","2018-11-15 23:28:22.947"
"Brasil","Pernambuco","Cupira","CENTRO ","","","Gestor de Turismo Público","Feminino","Superior","Branca","30-06-1977","429","100.00","2018-11-15 01:51:17.55"
"Brasil","São Paulo","Santos","POMPEIA","","","GUIA DE TURISMO","Masculino","Superior","Branca","07-07-1985","429","100.00","2018-12-02 17:10:06.46"
"Brasil","Goiás","Cavalcante","73790000","","","bancario","Masculino","Superior","Parda","23-10-1973","429","100.00","2018-11-05 18:07:38.329"
"Brasil","São Paulo","Mesópolis","Centro","","","Gestor de Turismo Privado","Feminino","Superior incompleto","Branca","14-11-1998","429","100.00","2018-07-12 14:41:42.545"
"Brasil","Rio de Janeiro","Nova Iguaçu","MOQUETÁ","","","TURISMÓLOGO","Feminino","Superior incompleto","Preta","23-05-1994","429","100.00","2018-12-05 20:18:46.332"
"Brasil","Rio de Janeiro","Rio de Janeiro","REALENGO","","","Gestor de Turismo Privado","Feminino","Superior incompleto","Branca","27-11-1987","429","100.00","2018-11-23 22:55:00.141"
"Brasil","Bahia","Salvador","COMÉRCIO","",""," Eventos","Masculino","Superior incompleto","Branca","09-07-1949","429","100.00","2018-10-17 09:07:00.268"
"Brasil","São Paulo","Suzano","VILA COSTA","","","Gestor de Turismo Privado","Masculino","Superior","Branca","02-08-1958","429","100.00","2018-12-09 14:07:00.224"
"Brasil","Distrito Federal","Brasília","ASA SUL","","","Gestor de Turismo Público","Feminino","Superior","Parda","19-07-1981","429","100.00","2018-10-19 12:31:52.628"
"Brasil","Sergipe","Aracaju","DEZOITO DO FORTE","","","guarda municipal","Masculino","Superior","Parda","12-08-1978","429","100.00","2018-11-17 00:52:36.754"
"Brasil","Rio de Janeiro","Niterói","FONSECA","","","Turismóloga e guia","Feminino","Superior","Amarela","15-12-1989","429","100.00","2018-11-07 14:08:25.126"
"Brasil","Rio de Janeiro","Rio de Janeiro","URCA","","","Graduanda em Turismo","Feminino","Superior","Branca","30-08-1965","429","100.00","2018-07-28 00:45:08.168"
"Portugal","","","","","","","Masculino","Medio","Branca","23-07-1975","429","100.00","2018-12-03 10:45:02.327"
"Brasil","Distrito Federal","Brasília","RECANTO DAS EMAS","","","Estudante","Feminino","Superior","Branca","24-10-1986","429","100.00","2018-08-08 22:04:54.543"
"Brasil","Minas Gerais","Paraguaçu","CENTRO","","","Gestor de Turismo Privado","Feminino","Superior","Branca","06-12-1973","429","100.00","2018-09-27 20:39:32.147"
"Brasil","Rio Grande do Sul","Santa Maria","NOSSA SENHORA DE FATIMA","","","Gestor de Turismo Privado","Feminino","Superior","Branca","13-04-1975","429","100.00","2018-12-31 17:37:25.56"
"Brasil","Paraná","Faxinal","CENTRO","","","Gestor de Turismo Público","Masculino","Superior","Branca","18-03-1970","429","100.00","2018-08-02 21:51:28.494"
"Brasil","Distrito Federal","Brasília","CRUZEIRO NOVO","","","Estudante","Masculino","Medio","Parda","07-11-1990","429","100.00","2018-09-24 18:04:57.878"
"Brasil","Paraná","Ponta Grossa","CENTRO","","","ACADÊMICO DE TURISMO","Masculino","Superior incompleto","Branca","16-11-1990","429","100.00","2018-09-28 17:52:11.767"
"Brasil","Paraná","Jacarezinho","CENTRO","","","Gestor de Turismo Privado","Masculino","Superior","Branca","28-01-1975","429","100.00","2018-11-20 21:45:16.378"
"Brasil","São Paulo","Botucatu","JD IOLANDA","","","Gestor de Turismo Privado","Masculino","Superior","Parda","09-04-1979","429","100.00","2018-12-05 16:37:21.473"
"Brasil","Rio de Janeiro","Rio de Janeiro","TIJUCA","","","ADMINISTRADOR","Masculino","Superior","Branca","25-05-1970","429","100.00","2018-12-17 17:37:48.345"
"Brasil","Rio de Janeiro","Rio de Janeiro","REALENGO","","","Gestor de Turismo Privado","Feminino","Superior incompleto","Parda","21-07-1997","429","100.00","2018-11-15 21:27:13.369"
"Brasil","Tocantins","Arraias","Buritizinho","","","Gestor de Turismo Público","Feminino","Superior","Parda","05-02-1998","429","100.00","2018-08-26 22:00:10.77"
"Brasil","Distrito Federal","Brasília","GUARA ","","","Gestor de Turismo Público","Feminino","Superior","Branca","16-10-1978","429","100.00","2018-08-23 15:12:15.917"
"Brasil","Minas Gerais","Viçosa","Clelia Bernardes ","","","Gestor de Turismo Público","Feminino","Superior incompleto","Branca","22-03-1980","429","100.00","2018-12-10 22:52:07.736"
"Brasil","Minas Gerais","Pouso Alegre","Jardim Baronesa 1","","","Gestor de Turismo Público","Masculino","Superior incompleto","Parda","01-06-1978","429","100.00","2018-12-19 20:28:20.566"
"Brasil","Rio de Janeiro","Rio de Janeiro","MADUREIRA","","","Gestor de Turismo Privado","Masculino","Superior","Branca","30-05-1962","429","100.00","2018-10-26 22:44:36.165"
"Brasil","Paraíba","Boa Vista","ZONA RURAL","","","Gestor de Turismo Privado","Masculino","Superior","Preta","26-01-1980","429","100.00","2018-06-23 17:28:41.324"
"Brasil","Paraíba","Monte Horebe","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Branca","13-05-1967","429","100.00","2018-11-29 16:57:34.626"
"Brasil","Maranhão","Carolina","CENTRO","","","AGENTE DE DES. LOCAL","Masculino","Superior","Branca","21-01-1983","429","100.00","2018-11-27 13:15:35.62"
"Brasil","Paraná","Ribeirão Claro","RUVINA","","","Gestor de Turismo Público","Feminino","Superior","Parda","11-12-1995","429","100.00","2018-12-06 17:21:33.135"
"Brasil","Roraima","Boa Vista","CENTRO","","","Gestor de Turismo Público","Feminino","Medio","Parda","15-02-1994","429","100.00","2018-07-07 19:43:16.739"
"Brasil","São Paulo","Barueri","CENTRO","","","Técnica em Turismo","Feminino","Superior","Branca","03-02-1987","429","100.00","2018-08-09 16:18:56.432"
"Brasil","São Paulo","Itapevi","VILA NOVA","","","Gestor de Turismo Público","Feminino","Superior","Branca","11-05-1994","429","100.00","2018-09-21 10:57:20.508"
"Brasil","Paraná","Almirante Tamandaré","SAO VENANCIO","","","Funcionário publico","Masculino","Superior","Branca","26-02-1968","429","100.00","2018-12-19 09:20:50.64"
"Brasil","Alagoas","Boca da Mata","BAIRRO RURAL","","","Gestor de Turismo Público","Feminino","Superior incompleto","Amarela","22-11-1996","429","100.00","2018-08-12 14:16:54.912"
"Brasil","Rio Grande do Sul","Porto Alegre","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Branca","14-08-1962","429","100.00","2018-10-03 11:04:40.654"
"Brasil","Rio Grande do Sul","Bagé","MALAFAIA","","","Recepcionista Turism","Feminino","Superior incompleto","Branca","07-03-1964","429","100.00","2018-12-04 16:15:20.973"
"Brasil","São Paulo","São Paulo","CIDADE LÍDER ","","","Gestor de Turismo Privado","Feminino","Superior incompleto","Parda","21-02-1992","429","100.00","2018-12-17 20:01:08.178"
