ID_Avaliacao,ID_Funcionario,Data_Avaliacao,Pontuacao,Comentario
1,24,2022-01-31,2.16235,Walk PM address worker experience.
2,30,2022-02-28,4.14788,Six learn executive term during team investment agency.
3,86,2022-03-31,1.44774,Check whole building just there cup.
4,92,2022-04-30,2.42389,Industry morning career impact various.
5,7,2022-05-31,4.91225,Positive give drug read it site mission.
6,35,2022-06-30,4.17596,Meet health myself much.
7,55,2022-07-31,2.98902,Piece almost how.
8,92,2022-08-31,2.35911,Property tonight evening.
9,14,2022-09-30,4.48854,Stay outside successful others day.
10,10,2022-10-31,3.17939,Standard dog water ever ask land.
11,80,2022-11-30,4.0337,Significant full magazine operation.
12,16,2022-12-31,4.01643,Tax station goal live word history company.
13,54,2023-01-31,1.07178,Worry water figure brother effort hard.
14,95,2023-02-28,1.50502,Another mission student truth still drive.
15,89,2023-03-31,3.63852,Together unit view argue western.
16,77,2023-04-30,1.64648,Campaign fine majority.
17,70,2023-05-31,2.02197,Office sister between head.
18,44,2023-06-30,4.78655,Mind scientist project pressure.
19,73,2023-07-31,3.24073,Traditional they mean coach.
20,45,2023-08-31,4.00292,Next gun career happy organization.
21,100,2023-09-30,3.23192,One check sure our.
22,56,2023-10-31,3.21005,Congress light manager I story from take each.
23,84,2023-11-30,1.37661,Piece few especially record.
24,82,2023-12-31,2.37465,Do establish build boy dark professional.
25,57,2024-01-31,2.12972,Family with cause for tax.
26,21,2024-02-29,2.56291,Pm name authority sing.
27,68,2024-03-31,4.19338,Large figure effect really if environment.
28,50,2024-04-30,2.48773,Cut bad himself run result education.
29,33,2024-05-31,2.80679,Indeed from hit generation.
30,91,2024-06-30,2.58953,Tax give late myself yeah reveal.
31,7,2024-07-31,1.37363,Child task daughter southern significant.
32,70,2024-08-31,2.76429,Blood your word hard but finish then.
33,15,2024-09-30,1.78244,Product position religious suggest conference since order.
34,82,2024-10-31,1.74689,Hospital coach method become yet wide.
35,32,2024-11-30,1.37614,Sense dog international.
36,75,2024-12-31,2.42668,Worry together arrive vote fall into.
37,20,2025-01-31,4.02993,Thank first size do.
38,88,2025-02-28,2.10577,Explain occur church fund itself issue less down.
39,15,2025-03-31,2.2494,Treat argue goal model.
40,48,2025-04-30,3.5707,Rate financial money family dinner.
41,71,2025-05-31,1.78336,Draw indeed find total soldier.
42,21,2025-06-30,4.58783,Five one sister some Democrat.
