Data,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber,Estoques,Ativos Biológicos,Tributos Diferidos,Despesas Antecipadas,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Outros,Tributos Diferidos,Adiantamento para Futuro Aumento Capital,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital
30/06/2009,305.265.345,57.621.537,10.072.162,0,14.555.268,19.674.548,0,0,0,13.319.559,24.442.391,0,0,7.550.039,0,0,0,0,138.975,16.753.376,5.499.256,207.843.049,7.260.230,2.598.865,305.265.345,55.737.373,0,14.498.820,12.780.767,12.622.364,0,6.021.731,6.373.867,3.439.823,0,95.786.074,55.256.396,50.699,10.487.388,0,0,29.991.586,0,0,3.893.928,149.847.966,78.966.686,514.857,9.920,58.865.377,10.918.406,572.716,0,0,0
30/09/2009,333.789.528,75.719.057,30.088.286,0,13.643.311,20.635.085,0,0,0,11.352.375,25.204.085,0,0,9.034.805,0,0,0,0,117.990,16.051.288,5.588.953,217.877.053,6.878.960,2.521.416,333.789.528,52.317.192,0,14.813.655,10.119.230,10.224.218,0,4.171.089,7.175.118,5.813.882,0,121.453.142,79.236.817,51.068,10.099.756,0,0,32.065.499,0,0,4.627.492,155.391.689,78.966.686,514.857,9.718,58.866.672,16.466.363,567.399,0,0,0
31/12/2009,345.607.274,76.674.015,28.795.714,0,13.984.270,21.424.652,0,0,0,12.469.380,26.380.032,0,0,8.596.951,0,0,0,0,147.335,17.635.744,3.148.357,230.230.508,6.808.331,2.365.998,345.607.274,58.029.638,0,16.980.678,12.747.880,14.887.211,0,2.333.053,6.030.238,5.050.577,0,126.502.846,84.702.691,52.433,8.865.598,0,0,32.882.125,0,0,1.610.167,159.464.587,78.966.686,514.857,350,79.521.014,0,461.687,0,0,0
31/03/2010,365.998.080,74.459.103,26.951.326,0,16.200.355,20.030.609,0,0,0,11.276.813,37.083.656,0,0,8.543.043,0,0,0,0,157.671,28.382.943,5.676.750,240.384.786,8.393.765,0,365.998.080,60.148.105,0,16.191.082,9.842.337,20.335.481,0,3.983.629,5.242.029,4.553.543,0,132.618.166,87.157.514,59.226,7.666.549,0,0,37.734.879,0,0,2.932.712,170.299.081,78.966.686,514.857,0,84.879.696,5.971.459,-33.617,0,0,0
30/06/2010,382.029.857,71.980.237,24.209.867,0,15.961.582,19.680.465,0,0,0,12.128.329,38.026.166,0,0,8.667.360,0,0,0,0,148.325,29.210.485,8.489.187,255.024.218,8.510.031,0,382.029.857,63.321.108,0,16.340.192,8.966.471,25.618.768,140.794,1.754.815,5.672.174,4.827.894,0,138.801.758,92.153.881,59.635,7.601.425,0,0,38.986.826,0,0,2.932.856,176.974.135,85.108.548,0,0,79.252.693,12.494.329,118.554,0,0,0
30/09/2010,507.697.037,111.415.034,47.291.933,0,18.407.326,21.359.229,0,0,0,24.356.547,39.065.182,0,0,9.898.908,0,0,0,0,135.158,29.031.117,8.773.659,265.329.852,83.113.271,0,507.697.037,65.310.036,0,19.580.197,9.327.789,22.686.153,159.540,1.826.230,7.446.627,4.283.503,0,140.908.200,91.974.017,60.953,7.712.166,0,0,41.161.073,0,0,4.117.783,297.360.982,200.160.870,164.696,0,77.830.742,19.251.855,-47.178,0,0,0
31/12/2010,519.970.030,106.685.161,30.323.259,26.017.296,17.333.975,19.815.676,0,8.934.797,1.006.419,3.253.738,38.469.951,4.981.553,225.953,4.829.451,91.161,0,17.210.855,1.225.919,126.448,9.778.613,8.879.163,282.837.549,83.098.190,0,519.970.030,56.834.675,2.605.810,17.043.678,10.250.098,15.668.290,148.798,3.595.303,6.219.601,1.303.097,0,152.912.036,102.247.023,179.202,1.169.841,26.160.593,0,23.155.372,0,0,3.458.118,306.765.189,205.357.105,-6.257,0,101.323.727,0,287.084,-196.479,0,0
31/03/2011,544.945.275,120.036.377,43.344.818,20.015.772,17.777.672,23.868.891,0,10.178.227,1.282.752,3.568.239,38.680.605,4.907.417,219.955,4.684.615,91.355,0,17.068.494,1.433.825,284.211,9.990.731,9.222.102,294.164.759,82.841.469,0,544.945.275,60.590.326,2.568.596,18.600.657,10.792.274,16.595.449,173.431,4.215.717,6.295.796,1.348.403,0,166.162.825,112.404.455,175.880,1.116.111,28.960.516,0,23.505.873,0,0,3.410.560,314.781.564,205.357.105,1.847,0,101.323.727,8.376.065,177.879,-455.045,0,0
30/06/2011,554.583.458,119.493.476,34.672.615,24.969.263,18.762.930,25.751.417,0,11.322.895,1.218.744,2.795.611,38.248.833,4.935.612,263.729,4.609.358,92.331,0,16.913.208,1.657.556,120.532,9.656.504,9.237.263,304.924.525,82.679.431,0,554.583.458,60.821.152,2.942.302,18.616.455,11.546.982,16.737.001,178.690,2.608.899,6.908.326,1.282.493,0,167.419.625,111.561.425,176.396,1.062.763,30.846.618,0,23.772.420,0,0,3.631.129,322.711.576,205.379.731,48.674,0,101.301.101,16.710.102,144.754,-872.763,0,0
30/09/2011,582.124.896,120.493.400,33.659.195,21.410.791,20.466.373,27.397.235,0,12.568.754,1.449.748,3.541.308,41.251.119,5.197.074,271.636,5.473.781,109.786,0,17.243.892,2.042.412,128.205,10.784.337,9.095.671,327.771.652,83.513.065,0,582.124.896,67.711.238,3.340.274,21.156.510,11.268.713,20.019.053,206.691,2.608.899,7.756.852,1.354.246,0,183.216.882,126.825.021,201.878,1.145.853,30.726.025,0,24.318.108,0,0,2.791.978,328.404.782,205.379.731,101.923,0,101.301.101,20.445.116,250.479,926.437,0,0
