"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - PETROBRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023,31/12/2023,31/03/2024
Ativo Total,305.265.345,333.789.528,345.607.274,365.998.080,382.029.857,507.697.037,519.970.030,544.945.275,554.583.458,582.124.896,599.149.969,615.818.461,628.027.752,646.683.165,677.716.296,695.313.170,749.027.656,758.432.793,752.966.631,802.014.626,800.370.000,815.741.010,793.374.949,831.948.063,859.298.988,931.561.996,900.134.994,859.159.986,818.332.041,803.206.005,804.945.002,788.046.021,808.054.030,803.870.015,831.515.001,824.153.014,850.281.955,866.755.936,860.473.000,949.086.978,965.248.025,924.465.037,926.011.032,971.644.994,1.015.142.023,965.430.018,987.418.984,998.283.018,941.446.988,974.689.010,972.950.995,998.662.013,1.004.753.977,947.574.014,976.708.960,978.576.998,990.459.003,1.025.495.990,1.050.887.979,1.067.292.033
Ativo Circulante,57.621.537,75.719.057,76.674.015,74.459.103,71.980.237,111.415.034,106.685.161,120.036.377,119.493.476,120.493.400,121.163.678,126.373.536,116.320.633,125.807.690,118.101.811,116.893.311,144.710.009,137.242.591,123.350.376,159.665.095,144.270.000,142.950.007,135.023.010,137.564.996,160.379.994,176.380.002,169.580.986,146.243.011,132.624.998,144.752.984,145.907.007,134.058.000,142.435.009,143.941.992,155.908.997,145.411.998,144.255.009,150.200.992,143.606.006,130.604.999,181.333.000,147.600.998,112.100.999,163.561.996,201.926.001,151.643.996,142.323.007,153.971.999,151.539.007,166.334.005,168.247.001,199.511.998,224.784.990,159.327.011,163.051.995,157.193.994,136.816.001,147.311.002,157.079.011,165.964.005
Caixa e Equivalentes de Caixa,10.072.162,30.088.286,28.795.714,26.951.326,24.209.867,47.291.933,30.323.259,43.344.818,34.672.615,33.659.195,35.747.242,39.904.494,26.318.336,30.187.315,27.628.003,27.235.076,51.249.525,39.349.920,37.171.823,68.466.528,58.140.000,49.623.998,44.239.000,34.450.002,81.166.000,99.869.999,97.845.002,77.778.002,62.940.000,70.059.999,69.107.999,60.873.998,77.969.998,74.430.996,74.494.001,66.361.999,65.536.000,56.803.000,53.853.999,36.475.998,64.051.999,54.882.001,29.714.000,80.382.001,106.597.999,71.635.001,60.856.001,68.154.999,49.125.999,59.393.999,58.410.000,81.601.004,85.310.996,23.650.001,41.722.999,52.276.998,49.882.001,60.642.001,61.612.999,57.689.002
Aplicações Financeiras,0,0,0,0,0,0,26.017.296,20.015.772,24.969.263,21.410.791,16.808.468,18.002.805,19.668.449,22.673.562,21.315.725,19.301.607,21.782.053,18.545.838,9.100.566,10.025.962,8.236.000,20.674.001,24.763.001,33.828.000,10.478.000,4.379.000,3.047.000,2.729.000,2.430.000,2.542.000,2.556.000,2.909.000,3.317.000,5.744.000,6.237.000,3.905.000,4.060.000,4.164.000,4.198.000,4.370.000,2.456.000,5.427.000,3.580.000,3.346.000,2.952.000,3.782.000,3.424.000,3.299.000,3.013.000,2.920.000,3.630.000,5.967.000,14.957.000,13.038.000,14.470.000,14.629.000,11.103.000,6.505.000,13.650.000,24.071.999
Contas a Receber,14.555.268,13.643.311,13.984.270,16.200.355,15.961.582,18.407.326,17.333.975,17.777.672,18.762.930,20.466.373,21.974.700,21.436.549,22.587.245,23.291.283,22.680.508,22.441.980,22.130.065,21.519.276,22.652.363,24.040.520,23.412.001,21.549.001,21.167.000,20.736.999,20.050.000,21.155.000,22.659.000,18.865.000,17.047.000,16.953.000,15.543.000,14.042.000,14.477.000,16.525.000,16.446.000,15.631.000,19.385.000,25.660.000,22.264.001,19.335.999,15.509.000,17.494.999,15.164.000,15.866.000,14.316.000,12.905.000,24.583.999,13.432.001,22.381.001,25.560.001,35.538.002,26.848.999,26.443.000,22.026.000,26.141.999,23.497.001,21.041.000,25.501.999,29.702.001,25.184.000
Estoques,19.674.548,20.635.085,21.424.652,20.030.609,19.680.465,21.359.229,19.815.676,23.868.891,25.751.417,27.397.235,28.446.925,29.396.161,30.159.057,30.355.708,29.735.948,31.801.612,31.097.264,33.570.384,33.323.520,35.259.679,37.407.998,32.437.000,30.457.000,32.031.001,33.771.000,32.585.001,29.056.999,29.098.000,28.508.000,27.627.000,27.622.001,26.172.000,26.621.000,25.851.001,28.081.000,29.361.000,35.534.000,38.864.998,34.822.001,32.962.001,34.237.999,31.583.001,33.009.000,31.236.000,27.594.000,29.789.999,29.500.000,39.730.000,36.038.001,39.577.002,40.485.999,48.350.999,49.821.999,52.825.002,45.803.999,40.483.000,39.240.999,39.510.000,37.184.000,40.848.998
Ativos Biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar,0,0,0,0,0,0,8.934.797,10.178.227,11.322.895,12.568.754,12.845.667,12.179.723,11.884.001,12.614.975,11.386.585,10.736.508,13.482.127,15.246.380,11.645.732,11.609.575,8.344.000,8.603.000,10.123.000,9.674.000,9.927.000,10.172.000,10.732.000,10.612.000,9.285.000,8.709.000,8.153.000,8.167.000,8.361.000,7.899.000,8.062.000,8.334.000,9.006.000,9.441.000,7.883.000,8.299.000,9.026.000,10.788.000,14.287.000,13.150.000,29.788.000,23.851.999,13.483.000,8.552.000,9.675.000,7.997.000,7.511.000,6.175.000,6.676.000,7.763.000,6.819.000,6.102.000,6.353.000,5.965.000,5.703.000,7.701.000
Despesas Antecipadas,0,0,0,0,0,0,1.006.419,1.282.752,1.218.744,1.449.748,1.328.418,1.569.535,1.673.936,2.128.645,1.692.488,2.067.556,2.270.287,2.212.821,1.386.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes,13.319.559,11.352.375,12.469.380,11.276.813,12.128.329,24.356.547,3.253.738,3.568.239,2.795.611,3.541.308,4.012.266,3.884.271,4.029.610,4.556.200,3.662.553,3.308.970,2.698.705,6.797.979,8.069.577,10.262.817,8.730.000,10.063.000,4.274.000,6.845.000,4.988.000,8.219.000,6.241.000,7.161.000,12.415.000,18.862.000,22.925.001,21.894.001,11.689.000,13.492.000,22.589.000,21.819.001,10.734.000,15.268.000,20.585.001,29.162.000,56.051.999,27.426.001,16.347.000,19.581.999,20.678.001,9.680.000,10.476.000,20.804.000,31.306.000,30.886.001,22.671.999,30.569.001,41.576.002,40.025.002,28.093.999,20.206.000,9.196.000,9.187.000,9.227.000,10.469.000
