"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Demonstrativo de Resultado - PETROBRAS - Trimestres Isolados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023,31/12/2023,31/03/2024
Receita Bruta de Vendas e/ou Serviços,55.891.489,60.264.415,60.772.676,63.323.783,66.884.448,68.868.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deduções da Receita Bruta,-11.287.491,-12.386.796,-13.139.804,-12.911.715,-13.253.071,-14.129.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receita Líquida de Vendas e/ou Serviços,44.603.994,47.877.620,47.632.871,50.412.073,53.631.382,54.739.042,54.491.161,54.800.499,61.468.746,64.179.020,63.727.878,66.134.032,68.047.274,73.792.938,73.405.260,72.535.343,73.626.247,77.700.317,81.028.014,81.544.806,82.298.003,88.377.000,85.040.177,74.353.000,79.943.000,82.238.996,85.103.010,70.337.004,71.320.003,70.443.000,70.488.998,68.365.001,66.995.999,71.822.000,76.512.018,74.461.004,84.395.000,98.260.001,92.719.981,79.999.001,72.566.997,77.051.003,72.627.986,75.468.997,50.898.002,70.729.998,74.971.988,86.173.999,110.709.998,121.594.003,134.189.998,141.640.991,170.959.995,170.075.996,158.579.016,139.067.998,113.839.997,124.828.000,134.257.975,117.720.998
Custo de Bens e/ou Serviços Vendidos,-24.613.196,-29.015.413,-29.628.371,-31.101.667,-34.244.725,-35.093.721,-35.611.714,-34.596.086,-41.226.293,-43.819.614,-47.297.270,-45.889.974,-52.032.049,-55.706.665,-56.843.436,-53.679.288,-54.919.025,-61.114.642,-64.012.997,-62.091.203,-63.282.999,-67.936.002,-63.512.797,-51.942.998,-54.380.999,-58.483.999,-58.254.004,-49.329.000,-48.498.999,-47.105.999,-47.677.010,-44.579.000,-45.626.999,-50.585.002,-51.309.007,-47.687.999,-52.772.000,-63.616.000,-61.216.993,-53.575.000,-42.356.998,-47.045.001,-37.163.000,-43.854.000,-32.679.999,-36.961.001,-34.612.003,-42.141.000,-53.704.999,-62.042.001,-75.143.004,-66.874.999,-75.098.997,-83.240.002,-81.941.996,-65.757.000,-56.158.999,-58.512.998,-61.631.988,-57.019.998
Resultado Bruto,19.990.798,18.862.207,18.004.513,19.310.399,19.386.655,19.645.323,18.879.461,20.204.415,20.242.457,20.359.404,16.430.604,20.244.052,16.015.220,18.086.271,16.561.812,18.856.061,18.707.229,16.585.675,17.015.022,19.453.602,19.015.000,20.441.000,21.527.400,22.410.000,25.561.999,23.755.000,26.848.999,21.007.999,22.820.999,23.337.001,22.812.004,23.786.000,21.369.000,21.237.000,25.202.997,26.773.000,31.623.000,34.644.001,31.503.000,26.424.001,30.210.001,30.006.000,35.465.003,31.615.001,18.218.000,33.769.001,40.359.997,44.032.999,57.004.999,59.551.998,59.046.994,74.766.000,95.860.998,86.836.003,76.637.004,73.311.003,57.680.998,66.315.002,72.625.979,60.701.000
Despesas Com Vendas,-1.745.850,-1.756.580,-1.785.407,-2.072.394,-2.276.030,-2.139.537,-2.172.345,-2.116.097,-2.181.941,-2.367.693,-2.284.312,-2.353.262,-2.349.094,-2.531.969,-2.369.304,-2.294.333,-2.552.425,-2.862.033,-2.892.249,-2.725.168,-2.772.000,-6.733.000,-3.743.831,-1.724.000,-3.886.000,-3.855.000,-6.428.000,-3.751.000,-3.690.000,-3.333.000,-3.051.001,-2.390.000,-3.889.000,-4.237.000,-3.994.000,-4.128.000,-4.748.000,-5.899.000,-2.086.000,-4.134.000,-3.668.000,-4.968.000,-4.976.000,-5.914.000,-6.752.000,-6.305.000,-6.049.000,-5.198.000,-5.742.000,-5.766.000,-6.099.999,-6.159.000,-6.136.000,-6.358.000,-6.794.999,-6.344.000,-5.947.000,-6.289.000,-6.583.000,-6.606.000
Despesas Gerais e Administrativas,-1.834.082,-1.965.524,-1.857.617,-1.829.000,-1.897.404,-2.116.771,-2.154.074,-2.010.362,-2.164.105,-2.251.566,-2.220.725,-2.199.895,-2.496.513,-2.540.273,-2.605.640,-2.470.832,-2.589.590,-2.802.719,-2.887.987,-2.559.600,-2.580.000,-2.707.000,-3.376.400,-2.710.000,-2.764.000,-2.754.000,-2.803.000,-2.652.000,-2.844.000,-3.041.000,-2.945.000,-2.307.000,-2.221.000,-2.451.000,-2.335.000,-2.142.000,-2.206.000,-2.213.000,-2.371.000,-2.322.000,-2.194.000,-2.012.000,-1.840.000,-1.820.000,-1.568.000,-1.664.000,-473.000,-1.496.000,-1.371.000,-1.763.000,-1.710.000,-1.559.000,-1.589.000,-1.752.000,-1.977.000,-1.855.000,-1.921.000,-1.927.000,-2.249.000,-2.216.000
Perdas pela Não Recuperabilidade de Ativos ,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outras Receitas Operacionais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outras Despesas Operacionais,-4.265.155,-3.668.662,-2.143.594,-4.368.461,-3.647.909,-2.791.931,-4.314.201,-3.542.088,-3.848.613,-3.417.920,-4.988.607,-3.920.135,-5.887.715,-4.412.813,-5.848.752,-4.241.160,-2.458.756,-5.426.830,-4.423.591,-6.928.837,-5.127.000,-16.049.000,-47.502.160,-4.977.000,-9.452.000,-11.101.000,-58.512.998,-6.457.000,-9.103.000,-26.994.999,-5.005.001,-4.819.000,-269.000,-6.771.000,-20.288.000,-2.688.000,-8.003.000,-9.513.000,-15.588.999,-5.949.000,14.419.000,-9.169.000,-14.137.999,-67.882.000,211.000,-6.851.000,33.997.998,-4.454.000,-3.016.000,12.914.000,6.469.000,-3.466.000,8.352.000,-4.285.000,-9.412.000,-5.096.000,-7.736.000,-9.341.000,-23.823.000,-7.395.000
