Data,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
30/06/2009,55.891.489,-11.287.491,44.603.994,-24.613.196,19.990.798,-1.745.850,-1.834.082,,0,-4.265.155,372.918,-711.154,900.079,-1.611.233,0,0,0,11.807.475,-3.852.421,1.656.294,0,0,-1.876.852,7.734.496
30/09/2009,60.264.415,-12.386.796,47.877.620,-29.015.413,18.862.207,-1.756.580,-1.965.524,,0,-3.668.662,309.558,-517.517,911.796,-1.429.313,0,0,0,11.263.481,-2.354.096,-679.049,0,0,-927.768,7.302.568
31/12/2009,60.772.676,-13.139.804,47.632.871,-29.628.371,18.004.513,-1.785.407,-1.857.617,,0,-2.143.594,-395.901,-686.747,909.543,-1.596.290,0,0,0,11.135.240,-575.861,-1.329.499,-1.495.323,0,394.315,8.128.872
31/03/2010,63.323.783,-12.911.715,50.412.073,-31.101.667,19.310.399,-2.072.394,-1.829.000,,0,-4.368.461,-179.281,-124.488,759.818,-884.306,0,0,0,10.736.777,-3.386.217,446.287,0,0,-70.573,7.726.274
30/06/2010,66.884.448,-13.253.071,53.631.382,-34.244.725,19.386.655,-2.276.030,-1.897.404,,0,-3.647.909,-230.444,106.964,922.498,-815.534,0,0,0,11.441.831,-1.563.613,-1.541.420,0,0,-41.808,8.294.990
30/09/2010,68.868.743,-14.129.698,54.739.042,-35.093.721,19.645.323,-2.139.537,-2.116.771,,0,-2.791.931,229.280,44.542,981.589,-937.047,0,0,0,12.870.908,-963.723,-2.775.496,0,0,-565.237,8.566.452
31/12/2010,,,54.491.161,-35.611.714,18.879.461,-2.172.345,-2.154.074,,0,-4.314.201,388.831,2.535.811,3.210.250,-674.439,,,,13.087.901,-528.416,-1.923.374,,,-34.461,10.601.650
31/03/2011,,,54.800.499,-34.596.086,20.204.415,-2.116.097,-2.010.362,0,0,-3.542.088,276.811,2.022.212,2.740.046,-717.834,,,,14.834.890,-1.267.240,-2.373.476,,,-209.210,10.984.964
30/06/2011,,,61.468.746,-41.226.293,20.242.457,-2.181.941,-2.164.105,0,0,-3.848.613,165.730,2.895.350,3.231.919,-336.569,,,,15.108.876,-1.947.379,-1.750.392,,,-468.168,10.942.937
30/09/2011,,,64.179.020,-43.819.614,20.359.404,-2.367.693,-2.251.566,0,0,-3.417.920,-471.844,-5.284.534,1.853.010,-7.137.544,,,,6.565.847,-2.217.823,925.492,,,1.062.403,6.335.919
31/12/2011,,,63.727.878,-47.297.270,16.430.604,-2.284.312,-2.220.725,0,0,-4.988.607,415.171,489.192,-1.282.338,1.771.530,,,,7.841.326,347.986,-2.958.496,,,-181.540,5.049.275
31/03/2012,,,66.134.032,-45.889.974,20.244.052,-2.353.262,-2.199.895,0,0,-3.920.135,136.319,464.993,1.329.634,-864.641,,,,12.372.073,-613.273,-2.331.121,,,-213.458,9.214.221
30/06/2012,,,68.047.274,-52.032.049,16.015.220,-2.349.094,-2.496.513,0,0,-5.887.715,-425.980,-6.406.934,1.638.036,-8.044.970,,,,-1.551.016,-856.671,536.997,,,524.963,-1.345.727
30/09/2012,,,73.792.938,-55.706.665,18.086.271,-2.531.969,-2.540.273,0,0,-4.412.813,191.471,-569.439,981.206,-1.550.645,,,,8.223.247,-801.554,-1.786.308,,,-69.029,5.566.356
31/12/2012,,,73.405.260,-56.843.436,16.561.812,-2.369.304,-2.605.640,0,0,-5.848.752,182.232,2.788.820,3.292.281,-503.461,,,,8.709.167,-266.358,-675.821,,,-19.396,7.747.591
31/03/2013,,,72.535.343,-53.679.288,18.856.061,-2.294.333,-2.470.832,0,0,-4.241.160,156.167,1.389.774,2.588.329,-1.198.555,,,,11.395.677,-1.438.869,-2.121.593,,,-142.038,7.693.177
30/06/2013,,,73.626.247,-54.919.025,18.707.229,-2.552.425,-2.589.590,0,0,-2.458.756,389.620,-3.550.695,909.124,-4.459.819,,,,7.945.381,793.975,-3.060.444,,,522.078,6.200.990
30/09/2013,,,77.700.317,-61.114.642,16.585.675,-2.862.033,-2.802.719,0,0,-5.426.830,493.439,-1.020.599,1.205.331,-2.225.930,,,,4.966.933,590.805,-2.015.577,,,-147.489,3.394.672
31/12/2013,,,81.028.014,-64.012.997,17.015.022,-2.892.249,-2.887.987,0,0,-4.423.591,55.758,-3.020.665,-791.983,-2.228.682,,,,3.846.285,-4.770.549,6.874.862,,,330.931,6.281.529
31/03/2014,,,81.544.806,-62.091.203,19.453.602,-2.725.168,-2.559.600,0,0,-6.928.837,521.698,-173.131,1.674.601,-1.847.732,,,,7.588.564,-1.120.422,-682.402,,,-392.880,5.392.860
30/06/2014,,,82.298.003,-63.282.999,19.015.000,-2.772.000,-2.580.000,0,0,-5.127.000,271.000,-940.000,1.303.000,-2.243.000,,,,7.867.000,-1.063.000,-1.613.000,,,-232.000,4.959.000
30/09/2014,,,88.377.000,-67.936.002,20.441.000,-6.733.000,-2.707.000,0,0,-16.049.000,198.000,-972.000,1.310.000,-2.282.000,,,,-5.822.000,-225.000,108.000,,,600.000,-5.339.000
31/12/2014,,,85.040.177,-63.512.797,21.527.400,-3.743.831,-3.376.400,0,0,-47.502.160,-539.698,-1.814.869,1.067.399,-2.882.268,,,,-35.449.565,-1.724.578,10.212.402,,,361.880,-26.599.860
31/03/2015,,,74.353.000,-51.942.998,22.410.000,-1.724.000,-2.710.000,0,0,-4.977.000,173.000,-5.621.000,734.000,-6.355.000,,,,7.551.000,-979.000,-2.044.000,,,802.000,5.330.000
