ID do Funcionário,Pesquisa de Satisfação,Feedback de Funcionários
492d34a2-06b1-442b-bdf3-e6e7dad2fa6d,"7,8",Sem Resposta
ca1af6e6-7205-4cfc-a1f6-1d9dba678584,"7,9",Idea order analysis beautiful else discuss.
67c41ffc-8523-44a1-9dc7-7bc3a68008ab,"5,7",Sem Resposta
ceb5c2f9-1aa0-45e3-aef3-1a97bb9bcbd3,"7,4",Sem Resposta
497aefd2-daa7-4b67-b219-75b8792014cb,"2,5",Sem Resposta
3d53e2f0-1c36-4c82-b03a-4b8b32944527,"3,8",Sem Resposta
360a437c-7aa4-4194-83cf-627ac11cde67,"3,0",Three car thing star common public write common.
23dd56b0-9e16-4d7e-ae6e-d620b7d89ede,"3,9",Sem Resposta
13258c1e-f2f2-4413-b370-db76ce91da68,"9,4",Sem Resposta
002ed2e8-173a-427f-81d6-687b4ed3caaa,"3,0",East south guy final sport total financial special political similar team believe.
edaa7608-27cd-4502-af93-52999166076b,"8,3",Sem Resposta
abc6ae66-03bc-40da-89b5-20a8b66d6a69,"9,6",Author mouth reason culture individual recent nature just huge water avoid.
97197841-d11f-4ada-82a6-78a91c9f0f04,"9,3",Role dark last they ago far smile same art.
295163f2-d154-41f3-a41f-1c20156a69dd,"7,0",Throughout camera family budget owner continue.
df1727f8-5f99-43d5-b3e1-1065efa2245c,"4,3",Now price often strong test easy show fire improve office believe international section.
c271ae3f-c76a-45bc-acb7-5ebe74c706f4,"8,3",Sem Resposta
d3f6d872-95b5-4c56-857e-c3af79b4d3c2,"2,9",Put shoulder beyond you rate never source moment someone high put.
3a7ce14b-d921-4a92-8781-66977bbf9ab6,"9,3",Sem Resposta
c2da4ec6-1ed4-4ade-9e8e-927d441381e9,"4,3",Sem Resposta
276e3860-08c3-44bd-a971-f2e2495a651c,"6,4",Sem Resposta
6ab02b33-8af0-42a4-b05f-3372e134ecf2,"5,7",Sem Resposta
26bd01f8-c8bb-4959-acaa-01a4b70697bc,"8,9",Oil share step executive material market too interview action.
3e14dac5-4b0f-475a-bc28-da18fa294767,"6,7",Sem Resposta
fb5e8784-1672-4501-a81d-9efaff711390,"7,6",Sem Resposta
04f56510-c041-4dab-8d04-fbf6794d8b06,"3,6",Sem Resposta
a19de474-d021-46a8-802a-9ee3dd824b8c,"1,5",Sem Resposta
aa9b8c0a-6060-41cf-8c34-d59193340731,"1,1",Sem Resposta
9bf82561-3437-4482-94da-90c1f3b5b768,"5,8",Sem Resposta
